thread_id,root_id,start_created_at,num_tweets,max_favorites,max_retweets,has_external_dependency,has_external_reply,has_external_quote,sample_text
1105334803270787072,1105334803270787072,Tue Mar 12 05:08:47 +0000 2019,25,70,11,0,0,0,I want to pose a design challenge to people interested in workflows and productivity. Call it a ribbonfarm millennium...
1108580125061181442,1108580125061181442,Thu Mar 21 04:04:32 +0000 2019,16,299,69,0,0,0,If you're reasonably open to experience  intelligent  and good at pattern matching  you'll arrive at a "seen it all" ...
1544013085681131520,1544013085681131520,Mon Jul 04 17:39:40 +0000 2022,4,37,1,0,0,0,Aging is a negative network effect
1543837122079047680,1543837122079047680,Mon Jul 04 06:00:27 +0000 2022,4,43,2,0,0,0,Apparently actual velociraptors looked like this and were turkey sized  not horse sized. https://t.co/X5yrIKza7c
1489375863493697546,1489375863493697546,Thu Feb 03 23:10:51 +0000 2022,201,24,1,0,0,0,Got lucky. I spotted 2 possibilities after second guess and went with a higher entropy unusual one just because it’s ...
1108442124125495296,1108442124125495296,Wed Mar 20 18:56:10 +0000 2019,8,24,3,0,0,0,I've long thought that the two main sensibilities you can bring to any activity are a) romantic b) classical. I now t...
1108228040880877568,1108228040880877568,Wed Mar 20 04:45:29 +0000 2019,6,27,1,0,0,0,Summer project: “PageRank” my antilibrary to surface the top books I should actually read. For each pair of books  I ...
1107914721611530242,1107914721611530242,Tue Mar 19 08:00:28 +0000 2019,31,63,14,0,0,0,Back in the day when all we had was crappy mapquest  I used to get paper maps from AAA for road trips  which I saved....
1543684576211415041,1543684576211415041,Sun Jul 03 19:54:17 +0000 2022,8,142,2,0,0,0,15y anniversary of ribbonfarm tomorrow 😵‍💫
1105711130138152960,1105711130138152960,Wed Mar 13 06:04:11 +0000 2019,11,64,42,0,0,0,This is a rare absolute must-read. The 737-MAX needs to be grounded now. This is a more serious failure than I though...
1543407937103618048,1543407937103618048,Sun Jul 03 01:35:01 +0000 2022,7,44,2,0,0,0,Apple veteran once described executive success culture there as 2 rules: do the right thing  keep Steve happy. Not a ...
1105648227959767040,1105648227959767040,Wed Mar 13 01:54:14 +0000 2019,7,26,1,0,0,0,Over the last few months I’ve successfully shifted about half my play and work life to a process-dominant model as op...
1104523976603185153,1104523976603185153,Sat Mar 09 23:26:51 +0000 2019,10,41,6,0,0,0,There’s a family of interesting related arguments:  “You are not enough people” (Vonnegut theory of marital conflict)...
1543387011892973569,1543387011892973569,Sun Jul 03 00:11:53 +0000 2022,5,36,7,0,0,0,Clarence Thomas apparently has an extended universe of opinion “Thomas has spent years essentially laying out a whole...
1104514303627952128,1104514303627952128,Sat Mar 09 22:48:25 +0000 2019,10,8,1,0,0,0,A few truths react very sharply to being disbelieved  like law of gravity. Instantaneous response to attempted transg...
1104467223417053184,1104467223417053184,Sat Mar 09 19:41:20 +0000 2019,9,91,7,0,0,0,If you search for 'PhD' on twitter  90% of what you see is thin-skinned performance of fragile authority. It's really...
1103848617998114816,1103848617998114816,Fri Mar 08 02:43:13 +0000 2019,5,13,1,0,0,0,Business is long cycles. Only now  nearly 8y into indie consulting  am I starting to see tiny signs in some of my lon...
1103524374374580225,1103524374374580225,Thu Mar 07 05:14:47 +0000 2019,20,47,11,0,0,0,I’m in the non-apocalyptic camp of climate change believers. I don’t believe even the worst case will make the world ...
1103406784297881600,1103406784297881600,Wed Mar 06 21:27:32 +0000 2019,4,19,3,0,0,0,I feel the need for a new kind of personal workflow model based on streams/threads. Multithreaded parallel/distribute...
1543342572877164544,1543342572877164544,Sat Jul 02 21:15:17 +0000 2022,6,16,1,0,0,0,I proposed this as a joke just months before the Great Weirding kicked off with the Harambe affair. Little did I know...
1103347244265140225,1103347244265140225,Wed Mar 06 17:30:56 +0000 2019,4,7,1,0,0,0,Our spatial sensory resolution is about 1/10 arc-second. Our temporal sensory resolution is about 1/10 second. AFAICT...
1102699307902201857,1102699307902201857,Mon Mar 04 22:36:16 +0000 2019,5,5,1,0,0,0,More extreme environments generally mean smaller  more compact/cozy experience containers with a higher ratio of cont...
1102686614663290880,1102686614663290880,Mon Mar 04 21:45:50 +0000 2019,6,30,5,0,0,0,Eldering™ is early-onset successor to adulting. Begins at 30. You heard it here first. Defined as retirement behavior...
1543270051330920450,1543270051330920450,Sat Jul 02 16:27:07 +0000 2022,24,225,20,0,0,0,Increasingly thinking the founding fathers were exceptionally mediocre people who did some exceptionally mediocre thi...
1102271264096366592,1102271264096366592,Sun Mar 03 18:15:23 +0000 2019,21,24,1,0,0,0,Realizing I’ve never actually learned anything non-tactile/physical (like swimming or bike-riding) as a result of exp...
1101526745616834560,1101526745616834560,Fri Mar 01 16:56:56 +0000 2019,6,23,0,0,0,0,In the spirit of seeking to disconfirm hypotheses  if you want evidence that waldenponding might be a good thing  loo...
1099369392284942336,1099369392284942336,Sat Feb 23 18:04:23 +0000 2019,18,38,9,0,0,0,There’s a vast gap of meaningful  rewarding  and lightweight creative collaboration models between (say) bantering ga...
1098849082250952704,1098849082250952704,Fri Feb 22 07:36:51 +0000 2019,7,5,0,0,0,0,Apropos of nothing  Steve Pavlina has had an impressively long career in the “online personality” game. I’m seeing FB...
1589743736376152064,1589743736376152064,Mon Nov 07 22:16:57 +0000 2022,15,219,11,0,0,0,One of the things that outsiders tend not to immediately grok about Silicon Valley  because it's so friendly  open  a...
1098760336075677696,1098760336075677696,Fri Feb 22 01:44:12 +0000 2019,5,63,11,0,0,0,Alternate interpretation of Dunbar’s number (150). It is the minimum number of people required to make a subjective w...
1098464678437507072,1098464678437507072,Thu Feb 21 06:09:22 +0000 2019,6,300,71,0,0,0,Both the Koch brothers and Robert Mercer are engineers by training.  Peter Thiel is a philosopher by training. Alex K...
1097984291126964224,1097984291126964224,Tue Feb 19 22:20:29 +0000 2019,7,11,0,0,0,0,All "meaning-making" products/services are evolving relationships between people that are on average 1/3 harvesting e...
1543077414502141952,1543077414502141952,Sat Jul 02 03:41:39 +0000 2022,4,50,0,0,0,0,Just realized I’m just a bit older than the fictional age of the youngest character in Stranger Things  Erica (9 in 1...
1097609824370638848,1097609824370638848,Mon Feb 18 21:32:29 +0000 2019,17,20,1,0,0,0,There's a concept called "packaging for e-commerce" where things are packaged mainly for shipping for online shoppers...
1097233846444089344,1097233846444089344,Sun Feb 17 20:38:29 +0000 2019,26,42,9,0,0,0,“The fox knows many things  the hedgehog knows one big thing” — Isaiah Berlin  A question: how do foxes and hedgehogs...
1096317712869945344,1096317712869945344,Fri Feb 15 07:58:06 +0000 2019,4,82,24,0,0,0,The idea that capitalists are “greedy” is interesting. I’ve only actually seen cartoon top-hat type greed among crony...
1096253719761510400,1096253719761510400,Fri Feb 15 03:43:48 +0000 2019,6,80,14,0,0,0,From Ian Cheng’s book Emissaries Guide to Worlding. Very intriguing art book that I haven’t yet figured out how to re...
1096209571482202113,1096209571482202113,Fri Feb 15 00:48:23 +0000 2019,4,41,10,0,0,0,There is no incentive to learn something when you have no desire to do more than solve an immediate problem.   To the...
1542550251281584128,1542550251281584128,Thu Jun 30 16:46:53 +0000 2022,23,107,14,0,0,0,This is starting to get kinda funny. The executive/judiciary is now a do/undo symmetry while the legislature continue...
1095382478980665344,1095382478980665344,Tue Feb 12 18:01:48 +0000 2019,5,18,2,0,0,0,TIL: Max g experienced by a human who came out alive is 46  at which g  he weighed over 7700 lbs for a few seconds. T...
1095139882517688320,1095139882517688320,Tue Feb 12 01:57:49 +0000 2019,9,20,3,0,0,0,Not true at least for me. I run away pronto if it seems like a coaching client is stealthily looking for therapy. I'v...
1095086488021196800,1095086488021196800,Mon Feb 11 22:25:39 +0000 2019,17,25,2,0,0,0,I have decided that "post truth" can be translated into "curved zeitgeist". Now I just have to map the rest of relati...
1095071402367971328,1095071402367971328,Mon Feb 11 21:25:42 +0000 2019,12,27,3,0,0,0,Sometimes the universe gives you a sign that you're on the right path. I was wondering how to apply metaphor of frene...
1094705758816460801,1094705758816460801,Sun Feb 10 21:12:46 +0000 2019,17,39,5,0,0,0,I often approach technical topics with an "art and science of X" mindset. The "art" part is usually a way of seeing r...
1094650380422602753,1094650380422602753,Sun Feb 10 17:32:42 +0000 2019,25,76,14,0,0,0,I read the GND outline. It is... depressing. This is the thing I read. I'd hoped for better. https://t.co/CHsIwOxt3A
1094286120060252161,1094286120060252161,Sat Feb 09 17:25:16 +0000 2019,5,11,1,0,0,0,10-15 years ago people talked about how there was a deep web behind corporate firewalls/offline databases etc. There ...
1094049725177769984,1094049725177769984,Sat Feb 09 01:45:55 +0000 2019,6,14,2,0,0,0,De facto Neoliberal Green Deal (NGD): move energy-intensive manufacturing to China  and hope to god they don’t back o...
1093626565961760768,1093626565961760768,Thu Feb 07 21:44:26 +0000 2019,9,31,3,0,0,0,Thanks to mining data from @backus I was able to construct an internal page rank for all ribbonfarm posts. See screen...
1093573855765921792,1093573855765921792,Thu Feb 07 18:14:59 +0000 2019,18,9,3,0,0,0,Yesterday 3 buddies and I ran the birth-order poll (in age order  separated by 5-10 years: @vegan  me  @gravity_levit...
1542314031569981440,1542314031569981440,Thu Jun 30 01:08:14 +0000 2022,8,55,2,0,0,0,People worry about how humans would rebuild after a significant apocalypse  but I wonder whether the survivors would ...
1093282251742179329,1093282251742179329,Wed Feb 06 22:56:15 +0000 2019,5,17,2,0,0,0,Thought: the Democrat candidate in 2020 will be judged more by the process used to select her or him than their perso...
1093235750676574209,1093235750676574209,Wed Feb 06 19:51:28 +0000 2019,9,37,3,0,0,0,A bit of meta-commentary on Strauss-Howe generational cycles. It's the Myers-Briggs of American sociology. If you tak...
